Rotational speed [rpm],Process temperature [K],Torque [Nm],Tool wear [min]
1555,308.6,36.6,104
1661,308.6,32.2,106
1434,308.6,45.9,108
1297,308.6,54.2,110
1466,308.6,46.4,112
1517,308.6,39.8,114
1742,308.5,34.5,117
1580,308.5,39.1,119
1534,308.5,42.9,121
1481,308.6,40.7,124
1429,308.6,37.7,126
1574,308.6,33.5,128
1524,308.6,40.4,131
1507,308.7,37.5,134
1467,308.5,44.7,136
1301,308.4,51.1,138
1429,308.5,55.1,140
1555,308.5,37.6,142
1503,308.5,40.6,145
1459,308.5,43.1,147
1449,308.4,42.4,149
1387,308.5,57.3,154
1456,308.5,50.0,156
1604,308.5,34.7,159
1734,308.6,32.4,161
1378,308.6,47.8,163
1504,308.7,41.8,165
1402,308.7,49.8,167
1524,308.6,37.7,170
1593,308.6,35.5,175
1772,308.7,28.4,177
1623,308.6,31.0,180
1356,308.7,50.7,185
1500,308.7,41.6,187
1566,308.8,46.6,192
1445,308.9,43.4,197
1382,308.8,58.5,199
1418,308.8,45.7,204
1491,308.8,41.0,209
1573,308.9,37.4,212
1521,308.9,42.3,215
1467,308.9,47.2,218
1325,308.9,48.4,220
1617,308.9,32.3,223
1476,308.9,42.7,225
1408,309.0,47.2,0
1468,309.1,45.6,2
1387,309.1,48.7,4
1503,309.1,34.7,6
1410,309.1,47.1,9
1615,308.9,30.6,14
1511,308.9,35.9,16
1405,309.0,53.8,18
1526,308.9,41.1,20
1530,308.8,38.3,23
1583,308.7,32.5,25
2069,308.6,18.7,27
1490,308.5,35.0,29
1736,308.5,29.0,31
1395,308.5,44.4,33
1425,308.6,49.6,35
1631,308.6,32.4,38
1535,308.6,41.2,40
1584,308.6,34.4,42
1543,308.7,38.2,44
1635,308.7,35.2,47
1446,308.7,45.5,49
1598,308.6,35.1,52
1501,308.6,35.0,55
1450,308.5,50.8,57
1730,308.6,25.9,59
1571,308.6,33.7,61
1438,308.7,51.7,64
1510,308.5,38.7,66
1389,308.7,44.9,69
1490,308.7,33.6,71
1729,308.7,26.6,73
1495,308.8,38.4,75
1281,308.8,53.9,77
1353,308.7,48.1,79
1429,308.8,50.1,84
1413,308.8,42.1,86
1502,308.8,38.3,88
1553,308.8,32.6,90
1712,308.9,26.4,95
1786,309.0,23.5,100
1951,309.0,21.4,102
1541,309.0,36.3,104
1605,309.1,34.3,107
1578,309.1,38.1,109
1440,309.2,37.5,111
1489,309.2,42.3,114
1366,309.3,48.4,116
1541,309.2,37.2,118
1552,309.1,40.7,120
1473,309.1,40.3,125
1531,309.1,37.9,127
1511,309.2,37.2,129
1449,309.1,47.9,131
1440,309.1,50.0,134
1881,309.0,23.9,137
1447,309.0,50.4,140
1326,309.1,62.0,142
1607,309.2,31.7,145
1551,309.1,39.1,147
1496,309.1,37.2,149
1493,309.1,38.0,151
1304,309.1,50.5,153
1420,309.0,41.6,155
1766,309.1,24.6,158
1450,309.2,43.1,160
1872,309.2,22.6,162
1713,309.2,26.5,167
1497,309.2,40.9,169
1352,309.1,44.7,172
1499,309.2,41.5,175
1972,309.3,19.3,177
1422,309.3,49.2,179
1523,309.3,41.5,181
1563,309.4,41.5,183
1391,309.3,46.6,185
1795,309.1,24.7,187
1293,309.1,53.7,189
1615,309.0,33.7,193
1342,308.9,50.8,195
1502,308.8,46.7,197
1620,308.7,35.4,199
1537,308.7,42.8,202
2248,308.7,16.8,204
1706,308.7,28.6,206
2250,308.7,16.6,208
1396,308.7,48.6,0
1522,308.6,46.4,2
1539,308.6,45.4,4
1415,308.5,54.0,6
1446,308.5,37.0,11
1486,308.6,41.1,13
1426,308.7,38.6,16
1449,308.7,38.9,18
1447,308.9,39.6,22
1422,309.0,47.3,25
1399,309.1,52.1,27
1427,309.2,41.5,29
1334,309.2,46.3,31
1385,309.1,45.6,34
1552,309.2,37.4,37
1534,309.3,37.5,39
1448,309.3,48.6,44
1409,309.3,44.7,46
1621,309.2,34.5,48
1547,309.1,40.9,50
1957,309.1,22.1,55
2421,309.1,14.2,57
1571,309.1,38.3,59
1634,309.1,36.8,62
1516,309.0,38.7,64
1207,309.1,66.5,66
1670,309.1,35.9,68
1461,309.1,48.6,70
1569,309.2,40.8,73
1556,309.2,35.7,75
1506,309.3,41.5,77
1642,309.4,30.3,80
1283,309.4,62.1,83
1375,309.5,46.8,86
1399,309.4,39.9,91
1650,309.4,29.8,93
1346,309.6,53.2,95
1410,309.6,51.2,98
1586,309.7,37.8,103
1372,309.8,39.6,105
1529,309.7,42.4,107
1652,309.7,28.6,112
1532,309.8,39.8,115
1554,309.7,32.0,117
1462,309.6,51.0,119
1254,309.6,61.3,124
1294,309.6,49.7,126
1739,309.5,27.5,128
1412,309.4,47.8,130
1372,309.5,56.2,133
1420,309.5,46.7,136
1542,309.5,40.3,141
1401,309.4,48.1,143
1510,309.4,42.5,146
1547,309.5,38.5,148
1453,309.5,43.2,153
1408,309.4,45.6,156
1436,309.4,51.6,158
1582,309.5,38.2,160
1280,309.6,59.3,163
2008,309.5,20.4,165
1772,309.5,23.5,167
1779,309.5,26.1,169
1567,309.5,35.5,171
1751,309.4,27.0,173
1349,309.5,51.3,176
1425,309.5,40.8,178
1395,309.4,44.5,181
1595,309.3,32.1,183
1291,309.3,56.4,188
1509,309.4,42.8,190
1483,309.4,38.1,193
1620,309.3,31.1,196
1487,309.4,42.2,198
2256,309.4,15.9,201
1691,309.2,27.7,203
1663,309.3,35.2,208
1640,309.3,31.1,211
1494,309.3,37.8,214
1467,309.4,46.2,219
1445,309.3,42.6,0
1480,309.4,40.9,2
1546,309.3,37.2,4
1574,309.3,35.8,6
1592,309.3,34.2,8
1495,309.5,39.6,10
1447,309.6,43.1,12
1476,309.5,44.4,14
1641,309.5,27.1,16
1545,309.5,32.2,18
1364,309.6,44.4,20
1590,309.5,28.5,23
1460,309.4,37.4,25
1609,309.4,32.5,27
1633,309.4,27.5,29
1348,309.4,52.8,31
1322,309.4,53.9,33
1641,309.5,30.1,35
1728,309.5,26.0,37
1431,309.6,47.7,39
1641,309.7,30.4,41
1622,309.6,36.1,43
1625,309.6,38.0,46
1869,309.5,22.7,49
1452,309.6,46.0,51
1618,309.6,28.7,53
2010,309.4,20.0,55
1363,309.4,60.9,57
1473,309.3,40.4,59
1333,309.2,50.8,61
1760,309.2,25.9,63
1372,309.2,58.2,65
1608,309.2,34.4,68
1326,309.2,64.8,71
1560,309.1,37.1,73
1539,309.0,36.1,76
2266,309.1,15.3,79
1641,309.1,35.8,81
1574,309.1,39.2,83
1407,309.1,50.6,85
1302,309.2,55.5,87
1651,309.2,30.8,92
1366,309.1,55.2,95
1701,309.0,28.6,98
1498,309.0,44.6,101
1422,309.1,45.3,103
1357,309.1,47.3,106
1690,309.2,29.2,108
1559,309.2,39.1,110
1553,309.3,32.4,112
1558,309.3,34.8,115
1362,309.4,51.9,117
1470,309.3,42.7,119
1555,309.4,34.8,122
1423,309.4,42.9,124
1434,309.3,38.5,127
1779,309.3,25.5,129
1417,309.3,54.6,131
1425,309.2,45.9,133
1597,309.2,32.9,135
1346,309.2,57.4,138
1422,309.2,40.4,140
1572,309.2,32.8,142
1412,309.2,45.4,147
1576,309.1,36.4,149
1508,309.1,41.2,152
1496,309.1,44.4,155
1572,309.2,35.4,158
1525,309.0,42.8,160
1378,309.0,51.9,162
1369,309.1,51.4,164
1476,309.1,45.3,166
1620,309.2,30.0,168
1603,309.1,38.5,170
1411,309.2,46.1,173
1616,309.2,31.6,175
1631,309.2,35.1,177
1456,309.2,40.6,182
1417,309.1,50.1,187
1851,309.1,24.7,189
1715,309.1,27.8,192
1630,309.1,32.3,194
1478,309.2,38.8,199
1781,309.2,29.6,201
1439,309.2,36.1,203
1412,309.2,45.3,205
1483,309.1,41.1,208
1400,309.2,42.6,210
1479,309.2,44.4,214
1491,309.2,47.5,216
1389,309.3,52.8,0
1399,309.4,54.8,3
1889,309.4,26.0,6
1925,309.5,21.9,9
1675,309.5,30.2,11
1477,309.6,38.1,13
1364,309.6,45.9,16
1451,309.5,39.4,18
1467,309.4,41.2,20
1858,309.4,22.5,22
1559,309.4,39.7,24
1560,309.4,47.7,26
1453,309.4,47.6,28
1464,309.4,41.7,30
1308,309.4,50.2,32
1353,309.5,50.9,34
1556,309.6,35.8,36
2183,309.5,17.8,39
1491,309.6,41.8,41
1528,309.6,35.1,44
1430,309.6,52.7,47
1495,309.5,32.6,49
1630,309.5,28.3,51
1524,309.6,38.4,54
1326,309.6,52.4,57
1438,309.5,44.0,59
1356,309.6,45.9,64
1416,309.6,43.3,66
1584,309.7,32.6,71
1597,309.6,31.8,73
1553,309.6,43.9,75
1405,309.5,49.4,77
1539,309.5,35.3,80
1398,309.6,53.7,82
1568,309.6,39.6,85
1404,309.6,44.6,87
1500,309.5,45.7,89
1642,309.5,28.8,92
1509,309.6,46.6,95
1343,309.5,50.2,98
1450,309.5,40.1,100
1460,309.4,43.5,102
1364,309.3,41.2,104
1452,309.3,41.9,106
1471,309.3,41.8,109
1598,309.2,34.6,111
1772,309.1,24.8,113
1761,309.2,25.6,115
1413,309.3,40.7,117
1887,309.3,22.6,120
1395,309.3,56.5,122
1569,309.4,31.6,124
1434,309.4,47.3,127
1417,309.5,41.1,129
1729,309.5,28.4,131
1356,309.5,51.1,133
1436,309.5,48.8,135
1419,309.6,42.5,137
1593,309.6,38.1,140
1320,309.5,62.2,142
1448,309.5,42.4,145
1470,309.4,33.5,148
1612,309.4,33.1,150
1412,309.4,51.6,153
1875,309.4,23.9,155
1612,309.3,36.0,158
1411,309.3,41.6,160
1490,309.2,47.9,163
1467,309.3,40.3,166
1807,309.2,26.4,169
1368,309.1,46.0,171
1572,309.2,32.0,173
1458,309.1,44.3,175
1699,309.1,30.3,178
1478,309.3,39.5,180
1362,309.4,42.1,182
1487,309.4,38.9,185
1705,309.4,29.4,190
1345,309.3,53.5,192
1532,309.2,40.2,194
1650,309.2,35.2,196
1398,309.2,54.4,198
1412,309.2,44.8,200
1525,309.3,39.6,202
1391,309.3,57.9,204
1766,309.3,28.2,207
1671,309.3,35.0,209
1373,309.3,48.8,211
1347,309.4,50.1,213
1539,309.3,39.1,216
1470,309.3,40.8,219
1528,309.3,37.0,221
1471,309.3,45.2,223
1528,309.2,37.2,228
1549,309.4,43.4,233
1463,309.4,49.2,235
1479,309.5,43.6,240
1867,309.5,23.0,242
1471,309.4,44.1,244
1623,309.7,32.7,0
1997,309.7,20.7,5
1390,309.6,48.5,7
1418,309.7,46.6,12
1519,309.7,35.8,14
1519,309.7,39.7,16
1536,309.6,37.2,19
1680,309.6,28.7,22
1555,309.4,37.9,24
1471,309.5,49.6,29
1877,309.4,23.8,31
1578,309.3,30.5,34
1655,309.4,32.1,37
1502,309.4,34.3,40
1541,309.5,37.2,48
1588,309.6,37.0,50
1684,309.6,32.8,53
1437,309.5,40.0,55
1409,309.6,42.4,57
1320,309.5,49.9,59
1635,309.5,34.2,62
1691,309.5,27.6,67
1365,309.6,50.0,70
1523,309.7,38.2,73
1593,309.7,32.4,76
1682,309.6,30.7,78
1329,309.6,54.3,80
1568,309.6,35.2,82
1733,309.6,24.8,85
1473,309.6,48.1,87
1633,309.5,31.3,90
1530,309.5,40.2,93
1550,309.5,40.2,96
1410,309.4,40.6,99
1574,309.3,33.5,101
1425,309.4,40.3,103
1541,309.4,35.2,105
1733,309.5,26.7,108
2496,309.4,13.5,111
1552,309.4,36.4,113
1409,309.3,38.7,115
1581,309.4,35.7,117
1251,309.5,59.9,120
1500,309.6,44.1,122
1576,309.5,38.8,124
1352,309.5,44.0,126
1661,309.6,30.3,129
1541,309.6,34.6,131
1888,309.6,20.5,133
1255,309.5,62.1,138
1411,309.6,41.6,140
1516,309.5,39.0,142
1492,309.5,34.0,144
1726,309.6,30.0,147
1598,309.7,33.7,149
1657,309.8,31.1,151
1481,309.7,38.1,153
1397,309.7,51.3,155
1461,309.7,44.3,158
1388,309.6,51.1,160
1507,309.7,52.4,163
1421,309.6,49.8,165
1258,309.7,54.9,168
1482,309.7,39.0,171
1403,309.6,51.3,174
1373,309.7,45.4,179
1460,309.7,42.1,181
1751,309.7,27.9,183
1546,309.6,42.3,186
1680,309.7,28.2,189
1394,309.7,48.8,192
1810,309.6,26.0,195
1479,309.5,34.5,197
1431,309.7,41.4,199
2355,309.7,14.4,201
1461,309.5,49.9,0
2007,309.5,19.7,2
1505,309.6,34.9,7
1925,309.6,20.5,9
1622,309.5,30.5,14
1592,309.5,29.0,17
1850,309.5,24.5,19
1470,309.5,48.7,21
1445,309.5,46.4,24
1685,309.5,31.1,27
1667,309.5,30.5,29
1578,309.5,35.4,34
1691,309.4,28.0,36
1439,309.5,43.8,41
1404,309.6,38.7,44
1498,309.6,45.8,47
1481,309.5,44.5,49
1589,309.4,35.0,52
1467,309.5,44.3,55
1654,309.4,32.8,57
1508,309.5,39.9,59
1439,309.6,43.0,61
1692,309.5,30.3,64
1838,309.5,24.9,66
1601,309.3,40.2,69
1369,309.4,51.6,71
1312,309.4,45.2,73
1468,309.4,44.1,76
1452,309.4,39.4,78
1393,309.5,43.9,81
1432,309.4,44.2,84
1510,309.3,46.0,87
1521,309.4,37.2,90
1360,309.4,46.2,93
1881,309.3,25.5,98
1413,309.3,50.3,101
1642,309.4,36.2,103
1542,309.5,38.5,108
1447,309.5,39.3,110
1530,309.4,40.4,112
1795,309.5,27.7,117
1290,309.6,57.4,119
1639,309.7,30.4,121
1596,309.8,31.5,123
1455,309.8,48.0,125
1659,309.8,28.9,127
1532,309.8,42.5,130
1502,309.8,42.4,133
1688,309.8,28.6,135
1341,309.7,50.9,137
1685,309.7,29.4,140
1370,309.8,55.9,143
1461,309.8,52.5,146
1550,309.8,37.4,148
1508,309.8,37.8,150
1345,309.8,62.7,153
1616,309.7,34.5,155
1395,309.7,61.0,157
1445,309.8,43.9,164
1555,309.8,38.9,166
1449,309.9,42.4,169
1466,309.9,53.2,172
1503,309.9,37.4,175
1488,309.7,35.7,177
1314,309.7,50.2,179
1547,309.7,38.0,181
1466,309.7,39.8,184
1537,309.6,37.1,187
1434,309.5,51.5,189
1432,309.6,44.7,192
1390,309.6,48.4,194
1580,309.7,42.8,196
1589,309.7,30.5,198
1441,309.8,48.8,200
1305,309.8,51.7,202
1566,309.8,35.9,204
1543,309.6,38.1,209
1421,309.8,49.6,211
1760,309.6,30.6,213
1711,309.5,29.2,215
1465,309.6,41.6,217
1366,309.6,50.2,219
1888,309.5,21.9,221
1777,309.5,23.6,0
1379,309.5,55.6,2
1525,309.5,51.3,4
1563,309.6,34.0,6
1389,309.7,43.3,9
1447,309.8,42.9,12
1934,309.7,22.8,15
1470,309.7,43.8,18
1428,309.7,42.6,23
1319,309.6,48.1,26
1887,309.7,24.3,28
1349,309.5,50.4,30
1665,309.5,31.4,32
1474,309.5,38.7,35
1543,309.5,38.9,37
1459,309.4,43.9,39
1551,309.5,37.9,42
1981,309.4,21.4,44
1526,309.4,35.3,46
1501,309.4,40.0,48
1558,309.4,38.3,51
1532,309.3,43.2,53
1326,309.2,55.9,55
1431,309.2,51.3,57
1366,309.3,49.3,59
1421,309.2,42.5,61
1506,309.3,35.6,63
1342,309.3,48.7,68
1427,309.2,37.6,73
1667,309.2,29.9,75
1400,309.1,46.7,77
1709,309.0,32.1,79
1368,309.0,45.8,81
1882,309.1,23.8,84
1353,309.1,58.7,86
1553,309.0,40.0,88
1431,309.1,45.4,90
1731,309.1,30.4,92
1687,309.2,27.7,95
1457,309.2,44.3,98
1533,309.2,37.0,101
1622,309.0,31.8,103
1791,309.1,28.2,108
1631,309.1,28.3,110
2174,309.0,16.9,112
1314,309.0,58.2,114
1478,309.1,46.9,116
1783,309.2,27.3,118
1385,309.2,46.1,120
1444,309.2,43.6,123
1841,309.3,23.0,125
1349,309.4,56.2,127
1340,309.3,56.0,130
1539,309.2,43.2,132
1932,309.3,21.8,135
1407,309.3,43.9,138
1712,309.3,28.5,141
1329,309.4,55.2,143
1441,309.2,42.9,148
1610,309.2,32.1,150
1474,309.1,45.2,152
1624,309.1,30.8,155
1520,309.3,38.2,158
1448,309.3,45.8,163
1558,309.3,29.7,168
2293,309.3,16.3,170
1397,309.3,51.2,173
1972,309.3,22.0,175
1574,309.2,36.5,177
1560,309.2,38.9,180
1353,309.2,49.8,182
1389,309.2,51.2,185
1513,309.1,43.8,188
1578,309.1,42.1,191
1467,309.0,37.3,193
1412,309.1,48.3,198
1668,309.1,30.3,200
1678,309.2,29.8,202
1612,309.1,35.4,205
1485,309.1,39.9,207
1456,309.1,39.4,209
1504,309.2,38.7,212
1491,309.2,44.3,214
1525,309.2,33.2,0
1759,309.2,27.9,5
1355,309.1,56.7,7
1345,309.1,56.8,10
1683,309.2,30.5,13
1658,309.2,34.8,16
1566,309.2,34.4,18
1469,309.3,43.9,20
1458,309.5,46.9,23
1858,309.4,23.6,26
1563,309.4,40.8,28
2141,309.4,17.9,33
1473,309.3,46.0,35
1498,309.4,38.5,37
1568,309.4,39.7,42
1694,309.4,27.4,44
1499,309.4,35.7,46
1717,309.5,28.3,48
1462,309.5,42.8,50
1642,309.6,34.5,53
1760,309.6,25.4,55
1660,309.5,32.7,57
1557,309.5,40.6,59
1442,309.6,49.2,61
1359,309.6,51.5,66
1342,309.8,52.5,68
1435,309.9,54.8,70
1567,309.9,36.5,72
1376,309.9,43.5,74
1513,309.9,38.7,76
1521,310.0,45.1,86
1658,310.0,34.7,88
1419,310.0,42.4,90
1478,310.0,36.3,95
1415,310.0,43.5,98
1780,309.9,26.5,101
1440,309.7,42.8,104
1448,309.8,39.7,107
1500,309.7,35.2,112
1513,309.8,32.9,117
1428,309.8,43.8,119
1473,309.8,42.3,121
1483,309.9,49.3,124
1534,309.7,42.5,127
1367,309.8,54.0,129
1467,309.7,36.9,131
1488,309.7,42.2,133
1679,309.7,30.1,136
1409,309.8,47.5,138
1367,309.7,51.2,143
1314,309.8,63.1,146
1480,309.9,40.0,148
1549,309.8,38.9,150
1685,309.7,31.3,152
1536,309.6,34.5,154
1539,309.7,37.7,156
1384,309.7,45.1,159
1614,309.6,30.3,161
1675,309.6,35.5,164
1685,309.7,32.3,167
1386,309.6,56.9,170
1488,309.6,41.3,172
1624,309.6,32.6,175
1600,309.6,34.6,177
1468,309.6,44.7,179
1435,309.6,45.4,181
1564,309.5,33.4,183
1329,309.4,53.6,186
1570,309.3,36.8,189
1433,309.4,48.8,191
1527,309.4,37.0,194
1443,309.3,50.3,196
1616,309.3,32.0,199
1654,309.3,31.0,201
1685,309.3,27.1,203
1456,309.4,48.8,205
1752,309.4,27.8,208
1438,309.2,51.0,211
1551,309.1,33.7,214
1599,309.2,30.1,216
1732,309.2,33.7,218
1418,309.2,39.8,221
1401,309.1,44.5,0
1454,309.0,51.7,2
1635,309.2,32.4,4
1489,309.1,40.3,7
1465,309.1,40.6,9
1463,309.1,45.7,11
1560,309.1,35.4,14
1454,309.2,44.4,19
1479,309.1,47.0,22
1430,309.2,43.4,24
1533,309.1,38.0,26
1404,309.0,54.8,29
1548,308.9,38.4,31
1612,309.0,33.0,34
1642,309.0,31.2,37
1406,309.1,42.2,40
1587,309.2,31.4,43
1364,309.2,47.6,45
1462,309.2,51.4,48
1649,309.2,32.4,50
1752,309.2,29.0,52
1396,309.3,51.2,54
2179,309.4,16.3,59
1653,309.5,27.6,62
2025,309.5,21.4,64
1426,309.6,53.6,66
1503,309.6,38.4,68
1525,309.6,36.5,71
1423,309.6,49.1,74
1435,309.7,44.7,76
1495,309.5,36.5,79
1557,309.5,33.8,84
1474,309.4,40.7,87
1465,309.3,46.0,89
1589,309.3,34.9,91
1475,309.3,46.8,94
1442,309.4,43.2,96
1556,309.4,36.0,98
1425,309.3,45.3,100
1580,309.3,38.3,102
1474,309.4,40.7,104
1489,309.4,38.4,109
1946,309.4,20.5,111
1758,309.5,26.8,116
1724,309.4,25.6,119
1430,309.5,48.5,122
1612,309.5,35.2,124
1469,309.5,43.4,126
1384,309.6,42.4,131
1724,309.6,28.1,133
1397,309.6,48.0,135
1588,309.6,32.7,138
1468,309.7,42.0,141
1594,309.8,31.1,143
1511,309.7,39.3,146
1493,309.8,38.9,149
1709,309.8,27.0,151
1501,309.6,36.1,156
1668,309.7,30.8,158
1502,309.6,48.9,160
1288,309.7,58.4,162
1491,309.7,42.9,165
1519,309.8,39.6,167
1984,309.9,19.7,169
1643,309.9,32.9,171
1625,310.0,31.6,173
2068,310.0,17.8,176
1469,310.1,39.7,179
1558,310.1,36.3,184
1344,310.0,54.8,186
1455,310.1,44.1,188
1355,310.1,53.6,193
1550,310.0,41.5,197
1525,310.1,37.8,199
1696,310.0,32.4,202
1937,310.1,21.8,205
1689,310.0,32.1,207
1593,310.0,30.8,210
1565,309.9,36.0,213
1665,310.0,31.4,0
1532,310.0,36.3,2
1438,310.0,40.9,7
1531,310.1,41.6,9
1506,310.0,40.8,11
1382,309.9,52.4,13
1456,309.9,50.8,15
1445,310.0,45.6,18
1515,309.9,40.9,21
1449,309.9,45.5,23
1362,309.9,50.7,25
1687,309.9,29.7,30
1618,310.0,37.6,32
1558,310.1,32.6,34
1662,310.1,31.0,37
1295,310.1,56.6,39
1385,310.2,42.3,42
1479,310.1,45.5,44
1400,310.3,44.3,47
1357,310.3,54.5,49
1657,310.2,34.1,52
1496,310.2,43.4,54
1379,310.3,43.2,56
1548,310.3,38.6,59
1499,310.3,38.1,61
1390,310.5,45.8,63
1538,310.4,38.4,65
1365,310.5,47.7,70
1503,310.5,48.6,72
1390,310.4,49.9,74
1497,310.3,45.7,76
1577,310.4,48.3,78
1432,310.5,54.3,81
1563,310.5,39.9,83
1433,310.4,43.4,86
1384,310.4,50.1,88
1346,310.4,46.7,90
1459,310.4,44.7,92
1639,310.4,28.9,94
1737,310.4,31.9,96
1489,310.5,43.5,98
1492,310.6,43.0,100
1217,310.5,60.6,103
1636,310.5,28.7,106
1436,310.4,49.7,108
1689,310.4,30.6,110
2289,310.5,16.4,112
1522,310.6,41.0,114
1351,310.5,52.9,116
1589,310.5,36.7,118
1578,310.6,34.1,120
1587,310.6,33.7,122
1962,310.6,20.2,124
2432,310.6,14.2,126
1418,310.6,43.9,129
1683,310.7,29.7,131
1385,310.8,50.7,133
1559,310.8,44.5,135
1671,310.8,31.6,137
1343,310.8,49.5,140
1548,310.8,34.2,143
1705,310.9,31.2,146
1535,310.8,35.4,148
1564,310.8,34.1,150
1510,310.9,40.9,152
1492,310.9,45.2,155
1452,310.8,44.1,157
1329,310.7,52.0,160
1382,310.8,52.4,165
1628,310.8,36.4,167
1706,310.7,27.9,170
1594,310.7,34.1,172
1761,310.7,24.3,174
1529,310.6,41.8,176
1532,310.7,40.7,178
1673,310.7,27.8,181
1680,310.8,31.4,185
1610,310.8,34.6,187
1632,310.9,31.6,189
1559,310.9,40.2,191
1367,310.8,49.0,193
1414,310.7,51.7,197
1522,310.6,36.6,202
1525,310.6,41.9,204
1394,310.6,46.5,206
1519,310.6,40.7,208
1445,310.6,43.9,210
1555,310.6,43.3,212
1633,310.5,39.5,0
1630,310.6,30.3,2
1692,310.7,32.3,5
1790,310.7,26.2,8
1350,310.8,58.5,13
1584,310.7,32.2,17
1989,310.7,21.8,19
1431,310.8,44.3,21
1568,310.7,35.2,23
1376,310.7,50.6,25
1459,310.6,46.9,27
1385,310.8,47.5,30
1591,310.8,29.6,33
1568,310.7,33.1,38
1459,310.7,37.7,40
1590,310.7,36.3,43
1376,310.6,47.6,45
1510,310.6,38.5,47
1674,310.6,33.6,49
1426,310.6,40.7,54
1466,310.7,43.6,56
1474,310.8,38.7,58
1290,310.8,65.3,63
1435,310.9,48.0,66
1416,310.7,53.2,69
1599,310.7,40.4,72
1466,310.7,47.3,77
1408,310.7,47.3,79
1490,310.6,48.1,81
1405,310.6,42.3,83
1647,310.5,33.3,85
1459,310.6,35.0,87
1648,310.6,30.7,90
1675,310.7,30.7,92
1605,310.7,34.2,94
1536,310.7,44.4,96
1617,310.7,34.3,101
1347,310.6,53.3,104
1337,310.5,52.7,106
1695,310.4,30.9,108
1635,310.4,32.5,110
1470,310.4,44.0,113
1381,310.4,49.8,115
1382,310.4,41.6,117
1697,310.4,30.0,120
1451,310.3,39.7,123
1419,310.3,55.7,125
1313,310.3,55.6,127
1560,310.3,36.3,129
1555,310.3,41.2,131
1579,310.4,36.9,133
1435,310.5,44.6,135
1621,310.6,33.7,137
1555,310.6,40.4,139
1611,310.5,33.8,144
1834,310.6,23.5,146
1612,310.5,29.8,148
1629,310.4,34.1,151
1496,310.4,35.2,153
1593,310.5,32.9,155
1623,310.5,33.5,157
1380,310.5,48.7,160
1562,310.6,34.4,162
1391,310.6,49.4,164
1551,310.5,34.3,166
1821,310.6,26.2,171
1429,310.7,43.6,176
2012,310.7,20.7,178
1924,310.6,23.6,181
1412,310.5,44.1,184
1389,310.5,54.9,187
1466,310.5,48.1,189
2297,310.5,15.8,191
1471,310.4,37.5,193
1492,310.3,41.4,195
1460,310.3,41.5,197
1559,310.4,39.4,199
1495,310.5,52.5,201
1535,310.5,39.0,204
1381,310.6,50.7,206
1599,310.6,36.1,208
1400,310.6,49.5,211
1624,310.6,34.5,216
1478,310.6,36.6,218
1605,310.7,33.3,220
1506,310.6,43.4,222
1455,310.6,43.9,0
1602,310.5,32.3,2
1425,310.4,54.4,7
1918,310.4,21.8,9
1611,310.3,41.5,11
1610,310.4,38.6,16
1329,310.4,46.6,24
1270,310.4,54.2,26
1415,310.3,41.6,28
1330,310.4,49.5,30
1786,310.5,27.1,35
1809,310.5,25.5,40
1303,310.6,59.7,42
1383,310.7,45.7,44
1447,310.6,56.9,47
1461,310.7,44.2,49
2092,310.7,18.6,51
1429,310.7,47.9,53
1736,310.8,26.5,56
1441,310.7,49.3,58
1523,310.7,43.3,60
1691,310.8,33.4,62
1557,310.8,35.3,65
1644,310.7,33.4,68
1522,310.6,43.8,70
1547,310.7,41.7,72
1597,310.7,30.8,74
1619,310.8,31.0,76
1400,310.8,58.2,79
1663,310.9,31.5,81
1540,310.8,37.6,83
1455,310.8,42.7,85
1519,310.8,39.0,90
1427,310.8,47.7,92
1650,310.8,29.8,94
1508,310.8,38.8,96
1379,310.9,54.8,99
1542,310.9,36.7,101
1763,310.9,28.4,103
1590,310.9,34.3,106
1336,311.0,63.6,111
1638,311.0,35.4,116
1356,311.0,45.7,119
1384,311.0,47.4,121
1309,310.9,48.0,124
1642,311.0,33.1,126
1289,311.0,54.9,128
1353,311.0,43.8,130
1871,311.0,26.0,132
1291,311.0,63.6,137
1346,310.9,44.6,142
1493,310.8,47.6,145
1524,310.8,41.3,147
1726,310.8,26.7,150
1435,310.8,47.2,152
1502,310.8,34.4,157
1608,310.9,33.0,160
1771,311.0,27.2,162
1474,311.0,42.6,164
1322,311.0,53.0,166
1393,311.0,49.5,168
1417,311.1,52.5,171
1430,311.0,49.8,174
1605,311.1,40.0,179
1402,311.1,47.8,182
1550,311.0,35.2,184
1376,311.0,44.9,186
1569,310.9,32.5,188
1669,311.0,32.2,191
1541,311.0,38.9,193
1651,311.0,32.5,195
1521,310.9,39.3,197
1365,310.8,48.2,199
1609,310.9,31.7,202
1470,310.8,37.6,204
1573,310.9,38.9,209
1441,310.9,43.7,0
1641,310.9,33.2,3
1486,310.9,40.3,6
1563,311.0,36.2,8
1769,311.1,26.0,10
1672,311.0,29.9,13
1632,311.0,34.2,18
1980,311.0,21.5,20
1635,311.1,36.0,23
1686,311.0,32.5,25
1574,310.9,31.4,27
1546,310.8,43.4,29
1899,310.9,24.7,31
1449,310.9,36.5,33
1483,310.9,37.0,35
1576,310.8,38.6,38
1317,310.9,51.9,40
1467,311.0,48.1,43
1616,310.9,34.5,46
1299,310.9,60.4,48
1432,311.0,41.5,51
1799,310.9,24.2,54
